account_value,date,daily_return
1000000.0,2022-04-04,
999718.7006474877,2022-04-05,-0.00028129935251230975
999840.6735234642,2022-04-06,0.00012200719652200043
999396.8575639153,2022-04-07,-0.00044388668244998986
999159.0852158929,2022-04-08,-0.00023791584516485997
999184.9890075951,2022-04-11,2.5925592916697937e-05
999151.4457931786,2022-04-12,-3.357057480402048e-05
999149.3451782494,2022-04-13,-2.1023989287272116e-06
999149.3451782494,2022-04-14,0.0
998912.8259891778,2022-04-18,-0.00023672055655443724
999020.8040341454,2022-04-19,0.00010809556365520834
999019.2793341333,2022-04-20,-1.5261944555922113e-06
998982.0850413782,2022-04-21,-3.723080577577864e-05
998981.3772413904,2022-04-22,-7.085212020419007e-07
998981.3772413904,2022-04-25,0.0
998830.7516560289,2022-04-26,-0.00015077917245809314
998828.486756056,2022-04-27,-2.2675513035030903e-06
998827.4969978925,2022-04-28,-9.90919038268423e-07
998827.3030328961,2022-04-29,-1.941926879300837e-07
998686.6762829038,2022-05-02,-0.00014079185617510426
998704.7478010274,2022-05-03,1.8095283088159775e-05
998935.872049429,2022-05-04,0.00023142400084763537
998560.6968742581,2022-05-05,-0.0003755748348501786
998414.9944793797,2022-05-06,-0.0001459124070619655
997497.302207575,2022-05-09,-0.0009191491282473097
997058.4073820211,2022-05-10,-0.00043999600257815796
996356.2949873067,2022-05-11,-0.0007041838166310654
996622.0616678335,2022-05-12,0.000266738597290761
997015.6594216806,2022-05-13,0.0003949318091438503
996655.5453187715,2022-05-16,-0.0003611920229196208
997307.7732265817,2022-05-17,0.0006544165743860297
996404.1393446313,2022-05-18,-0.0009060732365765434
997169.1737937585,2022-05-19,0.0007677953341607147
996839.4062675744,2022-05-20,-0.0003307036908586358
996869.0918300897,2022-05-23,2.9779683997865902e-05
996390.938090254,2022-05-24,-0.0004796554971504552
997651.1249274121,2022-05-25,0.00126475140327309
997645.5391825009,2022-05-26,-5.598896018477184e-06
997645.5391825009,2022-05-27,0.0
997645.5391825009,2022-05-31,0.0
997561.5193263589,2022-06-01,-8.421814446324394e-05
998179.0342511713,2022-06-02,0.0006190244038577486
998168.4091771662,2022-06-03,-1.0644457197117596e-05
997936.5700775835,2022-06-06,-0.00023226451313340668
998315.775925812,2022-06-07,0.00037998993082188903
998305.1125465395,2022-06-08,-1.0681369091436466e-05
998070.3939391368,2022-06-09,-0.00023511710443313572
998067.3306642382,2022-06-10,-3.069197240135324e-06
998045.3924915697,2022-06-13,-2.1980654004383204e-05
998256.2761921312,2022-06-14,0.00021129670268305034
998298.3159137956,2022-06-15,4.2113155376055644e-05
998239.2528549806,2022-06-16,-5.916373680436848e-05
998626.6244402544,2022-06-17,0.0003880548517460891
998897.4902979129,2022-06-21,0.0002712383698064702
998843.0235201113,2022-06-22,-5.452689423146584e-05
998959.8111395114,2022-06-23,0.00011692289644127385
998901.7806589359,2022-06-24,-5.8090906088881233e-05
998736.0335177539,2022-06-27,-0.0001659293680231766
998443.3959849476,2022-06-28,-0.00029300788495201235
998352.3342846988,2022-06-29,-9.120366824488801e-05
998329.9428689121,2022-06-30,-2.2428370243354756e-05
998380.3056180462,2022-07-01,5.044699850365042e-05
998199.6342098889,2022-07-05,-0.00018096451536619984
