,date,actions
0,2022-04-04,[65]
1,2022-04-05,[100]
2,2022-04-06,[100]
3,2022-04-07,[-16]
4,2022-04-08,[-91]
5,2022-04-11,[-100]
6,2022-04-12,[-58]
7,2022-04-13,[0]
8,2022-04-14,[100]
9,2022-04-18,[-60]
10,2022-04-19,[-40]
11,2022-04-20,[20]
12,2022-04-21,[-20]
13,2022-04-22,[0]
14,2022-04-25,[71]
15,2022-04-26,[-71]
16,2022-04-27,[6]
17,2022-04-28,[-6]
18,2022-04-29,[100]
19,2022-05-02,[-14]
20,2022-05-03,[54]
21,2022-05-04,[48]
22,2022-05-05,[-58]
23,2022-05-06,[100]
24,2022-05-09,[100]
25,2022-05-10,[-100]
26,2022-05-11,[-100]
27,2022-05-12,[49]
28,2022-05-13,[39]
29,2022-05-16,[87]
30,2022-05-17,[100]
31,2022-05-18,[-8]
32,2022-05-19,[-24]
33,2022-05-20,[-100]
34,2022-05-23,[1]
35,2022-05-24,[-80]
36,2022-05-25,[-194]
37,2022-05-26,[0]
38,2022-05-27,[0]
39,2022-05-31,[97]
40,2022-06-01,[100]
41,2022-06-02,[-100]
42,2022-06-03,[67]
43,2022-06-06,[-81]
44,2022-06-07,[-79]
45,2022-06-08,[91]
46,2022-06-09,[-95]
47,2022-06-10,[8]
48,2022-06-13,[100]
49,2022-06-14,[-52]
50,2022-06-15,[10]
51,2022-06-16,[100]
52,2022-06-17,[46]
53,2022-06-21,[-100]
54,2022-06-22,[20]
55,2022-06-23,[-100]
56,2022-06-24,[86]
57,2022-06-27,[100]
58,2022-06-28,[20]
59,2022-06-29,[-100]
60,2022-06-30,[47]
61,2022-07-01,[40]
